	% 10/3/2018	
	% 3:30 PM	
	% SAMPLE D mass: 142.398 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 	
	374.833	93.465	25.740	25.890
	375.883	93.468	25.729	25.887
	376.915	93.380	25.730	25.892
	377.945	93.162	25.733	25.902
	378.982	93.299	25.716	25.890
	380.014	93.393	25.737	25.872
	381.045	93.424	25.744	25.876
	382.070	93.347	25.742	25.878
	383.099	93.172	25.735	25.888
	384.127	93.290	25.734	25.887
	385.159	93.498	25.746	25.889
	386.192	93.073	25.741	25.898
	387.225	93.440	25.740	25.886
	388.259	93.416	25.743	25.880
	389.287	93.282	25.747	25.874
	390.318	93.380	25.745	25.878
	391.352	93.215	25.734	25.879
	392.381	93.238	25.742	25.889
	393.416	93.240	25.727	25.879
	394.473	93.275	25.743	25.873
	395.526	93.211	25.716	25.897
	396.568	93.336	25.755	25.889
	397.599	93.470	25.750	25.873
	398.637	93.528	25.749	25.873
	399.679	93.258	25.716	25.889
	400.714	93.447	25.729	25.877
	401.746	93.422	25.735	25.875
	402.782	93.073	25.733	25.892
	403.818	93.190	25.734	25.890
	404.854	93.332	25.707	25.896
	405.886	93.270	25.758	25.876
	406.923	93.259	25.742	25.867
	407.954	93.280	25.727	25.870
	408.990	93.104	25.727	25.899
	410.019	93.115	25.739	25.876
	411.057	93.267	25.724	25.896
	412.090	93.117	25.732	25.884
	413.131	93.094	25.733	25.897
	414.162	93.194	25.747	25.894
	415.202	93.354	25.746	25.870
	416.232	93.373	25.728	25.898
	417.266	93.177	25.721	25.871
	418.295	93.312	25.721	25.895
	419.322	93.377	25.726	25.890
	420.351	93.485	25.751	25.868
	421.381	93.268	25.727	25.879
	422.410	93.287	25.728	25.883
	423.439	93.419	25.714	25.889
	424.474	93.346	25.709	25.882
	425.510	93.319	25.725	25.883
	426.545	93.338	25.725	25.885
	427.569	93.267	25.730	25.881
	428.599	93.383	25.737	25.877
	429.623	93.389	25.712	25.866
	430.655	93.394	25.730	25.890
	431.684	93.270	25.727	25.887
	432.727	93.403	25.746	25.881
	433.756	93.429	25.733	25.882
	434.788	93.454	25.734	25.883
	435.814	93.278	25.717	25.899
	436.840	93.396	25.710	25.869
	437.865	93.308	25.734	25.882
	438.918	93.464	25.734	25.853
	439.976	93.261	25.730	25.882
	441.007	93.262	25.745	25.887
	442.044	93.255	25.723	25.870
	443.075	93.368	25.736	25.880
	444.099	93.471	25.719	25.869
	445.129	93.338	25.719	25.876
	446.154	93.305	25.719	25.866
	447.185	93.176	25.728	25.900
	448.217	93.263	25.730	25.868
	449.247	93.270	25.727	25.891
	450.274	93.309	25.724	25.877
	451.299	93.225	25.736	25.862
