	% 10/3/2018	
	% 8:20 AM
	% SAMPLE A mass: 91.767 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	456.599	93.176	26.888	27.027
	457.633	93.166	26.925	27.046
	458.658	93.149	26.933	27.025
	459.680	93.224	26.915	27.045
	460.710	93.150	26.919	27.016
	461.744	93.071	26.911	27.042
	462.769	93.130	26.914	27.028
	463.808	93.150	26.928	27.032
	464.833	93.093	26.928	27.034
	465.862	93.156	26.931	27.049
	466.891	93.290	26.922	27.060
	467.924	93.167	26.927	27.046
	468.958	93.162	26.921	27.033
	469.985	93.215	26.929	27.050
	471.030	93.182	26.916	27.029
	472.062	93.100	26.913	27.018
	473.087	93.217	26.920	27.056
	474.114	93.206	26.928	27.039
	475.148	93.066	26.898	27.037
	476.174	93.139	26.935	27.038
	477.200	93.149	26.899	27.060
	478.225	93.237	26.923	27.036
	479.249	93.295	26.921	27.026
	480.276	93.253	26.921	27.038
	481.301	93.254	26.903	27.056
	482.327	93.269	26.927	27.036
	483.353	93.249	26.908	27.049
	484.377	93.230	26.910	27.043
	485.415	93.290	26.922	27.056
	486.446	93.230	26.924	27.047
	487.473	93.291	26.944	27.047
	488.507	93.388	26.915	27.064
	489.532	93.287	26.906	27.052
	490.553	93.272	26.918	27.037
	491.574	93.290	26.935	27.043
	492.603	93.238	26.898	27.035
	493.626	93.238	26.907	27.038
	494.653	93.321	26.915	27.044
	495.681	93.137	26.899	27.031
	496.705	93.265	26.907	27.040
	497.734	93.226	26.916	27.043
	498.760	93.161	26.914	27.040
	499.781	93.114	26.914	27.046
	500.808	93.218	26.912	27.058
	501.832	93.223	26.903	27.035
	502.857	93.158	26.932	27.056
	503.901	93.267	26.915	27.039
	504.925	93.195	26.903	27.037
	505.950	93.245	26.899	27.038
	506.986	93.219	26.911	27.057
	508.013	93.211	26.908	27.020
	509.039	93.271	26.939	27.056
	510.065	93.242	26.909	27.019
	511.091	93.200	26.915	27.040
	512.118	93.194	26.898	27.051
	513.145	93.138	26.920	27.035
	514.181	93.267	26.920	27.032
	515.211	93.185	26.920	27.029
	516.238	93.319	26.916	27.037
	517.262	93.130	26.897	27.030
	518.287	93.074	26.897	27.037
	519.313	93.105	26.933	27.033
	520.342	93.109	26.938	27.054
	521.371	93.181	26.900	27.043
	522.398	93.149	26.894	27.016
	523.428	93.099	26.911	27.042
	524.453	93.095	26.910	27.037
	525.478	93.135	26.889	27.028
	526.505	93.081	26.903	27.033
	527.540	93.053	26.923	27.046
	528.566	93.038	26.905	27.061
	529.610	93.200	26.893	27.040
	530.635	93.176	26.897	27.043
	531.660	93.249	26.903	27.022
	532.686	93.160	26.898	27.028
	533.712	93.187	26.905	27.025
	534.736	93.188	26.906	27.034
	535.763	93.139	26.901	27.029
	536.793	93.170	26.906	27.023
	537.831	93.127	26.902	27.036
	538.870	93.342	26.893	27.042
	539.928	93.198	26.897	27.033
	540.954	93.301	26.910	27.020
	541.979	93.232	26.908	27.017
	543.009	93.200	26.912	27.013
	544.034	93.228	26.893	27.029
	545.058	93.254	26.884	27.022
	546.086	93.231	26.906	27.041
	547.121	93.174	26.893	27.030
	548.147	93.251	26.900	27.027
	549.173	93.246	26.907	27.018
	550.203	93.226	26.910	27.035
	551.244	93.219	26.913	27.023
	552.272	93.182	26.918	27.028
	553.306	93.267	26.901	27.049
	554.337	93.201	26.914	27.013
	555.363	93.315	26.908	27.048
	556.396	93.157	26.899	27.033
	557.436	93.190	26.890	27.037
	558.467	93.253	26.902	27.051
	559.495	93.197	26.910	27.032
	560.521	93.188	26.895	27.031
	561.552	93.118	26.903	27.021
	562.579	93.389	26.908	27.032
	563.613	93.300	26.899	27.016
	564.651	93.205	26.918	27.036
	565.691	93.117	26.905	27.049
	566.726	93.229	26.903	27.014
	567.756	93.243	26.900	27.019
	568.794	93.277	26.911	27.022
	569.837	93.257	26.904	27.031
	570.871	93.298	26.887	27.033
	571.903	93.268	26.905	27.035
	572.937	93.200	26.885	27.025
	573.991	93.200	26.916	27.030
	575.016	93.191	26.899	27.029
	576.044	93.264	26.915	27.024
	577.075	93.161	26.904	27.016
	578.105	93.256	26.882	27.015
	579.134	93.151	26.890	27.023
	580.160	93.164	26.902	27.022
	581.184	93.139	26.898	27.029
	582.209	93.211	26.891	27.026
	583.245	93.103	26.896	27.022
	584.282	93.128	26.885	27.038
	585.321	93.088	26.895	27.003
	586.349	93.157	26.887	27.022
	587.385	93.048	26.908	27.031
	588.410	93.061	26.897	27.024
	589.435	93.223	26.894	26.994
	590.463	93.262	26.879	27.015
	591.489	93.290	26.890	27.022
	592.515	93.177	26.882	27.022
	593.538	93.075	26.898	27.029
	594.565	93.062	26.889	27.024
	595.589	93.134	26.906	27.017
	596.620	93.258	26.898	27.009
	597.651	93.165	26.888	27.014
	598.678	93.053	26.863	27.008
	599.710	93.122	26.902	27.020
	600.742	93.226	26.897	27.012
	601.776	93.190	26.889	27.015
	602.801	93.217	26.896	27.027
	603.826	93.144	26.904	27.027
	604.856	93.087	26.897	27.024
	605.892	93.163	26.892	27.013
	606.938	93.147	26.908	27.026
	607.964	93.115	26.907	27.015
	608.995	93.090	26.879	27.001
	610.024	93.253	26.872	27.025
	611.058	93.209	26.890	27.018
	612.086	93.030	26.891	27.003
	613.122	93.050	26.872	27.027
	614.149	93.047	26.891	27.012
	615.172	93.146	26.903	27.005
	616.198	93.167	26.893	26.992
